title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Purses Shell Assorted Colored Shell Pill Box Trinket Coin Purse ,Bags & Purses > Accessory Cases > Pill Boxes,5.0,28,986,100,3,2413,57,"Shell Purses,World of Bacara,Birthday Gift,Grab Bag Gift,Party Favor,Jewelry Box,Trinket Box,Shell Pill Box,Fun Purses,pill box,India Art",United States,2023-02-18,yes,no,no,WorldofBacara,https://www.etsy.com/listing/1420120597/purses-shell-assorted-colored-shell-pill
Elisa Cowhide Weekender Bag ,Bags & Purses > Luggage & Travel > Overnight Bags,89.95,21,395,92,1,2198,53,"western,cowhide,leather,overnight bag,travel bag,weekend bag,women,weekender,luggage,myra,mothers day,birthday,countryside co",United States,2022-12-06,yes,no,no,CountrysideTexas,https://www.etsy.com/listing/1363211587/elisa-cowhide-weekender-bag
Purses Shell Assorted Colored Shell Pill Box Trinket Coin Purse ,Bags & Purses > Accessory Cases > Pill Boxes,5.0,18,566,86,1,1751,41,"Shell Purses,World of Bacara,Birthday Gift,Grab Bag Gift,Party Favor,Jewelry Box,Trinket Box,Shell Pill Box,Fun Purses,pill box,India Art",United States,2023-01-24,yes,no,no,WorldofBacara,https://www.etsy.com/listing/1400801885/purses-shell-assorted-colored-shell-pill
"Tom Ford Lost Cherry EDP 1ml,2ml, 3ml, 5ml, 10ml Glass Sample Spray, travel decant ",Bags & Purses > Cosmetic & Toiletry Storage > Vanity Storage > Atomizers & Perfume Bottles,9.44,1,287,48,0,137,0,"Bags & Purses,Cosmetic & Toiletry Storage,Vanity Storage,Atomizers & Perfume Bottles",United States,2023-01-01,yes,no,no,Scentpal,https://www.etsy.com/listing/1369196708/tom-ford-lost-cherry-edp-1ml2ml-3ml-5ml
Miref “Birds of a Feather” Powder Compact with Clear Glass Bottom. Made in France. Very Rare. Beautiful! ,Bags & Purses > Cosmetic & Toiletry Storage > Vanity Storage > Compacts,87.4,0,41,4,0,19,4,"Bags & Purses,Cosmetic & Toiletry Storage,Vanity Storage,Compacts,Miref,Glass Bottom,French,Powder Compact,Vintage,Vanity,Birds of A Feather",United States,2022-12-11,yes,no,no,OfCompactsAndVanity,https://www.etsy.com/listing/1367719945/miref-birds-of-a-feather-powder-compact
"Tom Ford Tobacco Vanille EDP 1ml,2ml, 3ml, 5ml, 10ml Glass Sample Spray, travel decant ",Bags & Purses > Cosmetic & Toiletry Storage > Vanity Storage > Atomizers & Perfume Bottles,8.5,0,293,44,0,115,1,"Bags & Purses,Cosmetic & Toiletry Storage,Vanity Storage,Atomizers & Perfume Bottles",United States,2023-01-01,yes,no,no,Scentpal,https://www.etsy.com/listing/1383185015/tom-ford-tobacco-vanille-edp-1ml2ml-3ml
